recommender,district,visits,visit_share,spend,spend_share,run
personalized,Gracia,655,0.060636919089057585,12565.919999999898,0.07012231360241916,7
personalized,Horta-Guinardo,241,0.022310683206813554,4427.4000000000015,0.024706470456866924,7
personalized,Les Corts,148,0.013701166450657287,3644.799999999991,0.02033928344427617,7
personalized,Nou Barris,307,0.028420662840214776,3837.240000000016,0.021413167252994626,7
personalized,Sant Andreu,122,0.011294204776893168,1870.560000000001,0.010438391692143698,7
personalized,Sant Marti,1726,0.15978522495834105,22418.360000000048,0.12510244139481597,7
personalized,Sants-Montjuic,1014,0.09387150527680059,21557.81999999993,0.12030032139505197,7
personalized,Sarria-Sant Gervasi,453,0.041936678392890205,8113.43999999997,0.04527588780402981,7
sustainable,Ciutat Vella,3276,0.3077501174260216,48240.3200000003,0.27122321646336556,7
sustainable,Eixample,1143,0.10737435415688117,25350.760000000133,0.14253045309381907,7
sustainable,Gracia,770,0.07233442930953499,14788.519999999862,0.08314600651763397,7
sustainable,Horta-Guinardo,505,0.04744011272898074,8733.880000000041,0.04910479503048602,7
sustainable,Les Corts,287,0.02696101456082668,6850.459999999966,0.038515577746034986,7
sustainable,Nou Barris,596,0.05598872710192579,7450.9200000000355,0.041891564732804774,7
sustainable,Sant Andreu,486,0.04565523720056364,7412.39999999997,0.0416749924070369,7
sustainable,Sant Marti,1739,0.16336308125880694,23021.00000000004,0.12943176301904943,7
sustainable,Sants-Montjuic,1129,0.10605918271488962,23264.079999999918,0.1307984400945307,7
sustainable,Sarria-Sant Gervasi,714,0.06707374354156881,12749.720000000061,0.07168319089523652,7
popularity,Ciutat Vella,5675,0.5178864756342398,76212.05999999825,0.3851297737543549,8
popularity,Eixample,2472,0.22558861106041248,68013.48000000005,0.34369909650319075,8
popularity,Gracia,1196,0.10914400438036138,25048.879999999917,0.12658192794159054,8
popularity,Horta-Guinardo,35,0.0031940135061142546,612.0400000000001,0.003092880926307737,8
popularity,Les Corts,116,0.0105858733345501,2873.1399999999953,0.014519116241768177,8
popularity,Nou Barris,303,0.027651031210074832,3815.6400000000153,0.01928194264697879,8
popularity,Sant Andreu,4,0.0003650301149844862,59.760000000000005,0.0003019909877722867,8
popularity,Sant Marti,541,0.04937032305165176,7973.8599999999515,0.04029507794106277,8
popularity,Sants-Montjuic,439,0.040062055119547364,8976.360000000042,0.045361108149257964,8
popularity,Sarria-Sant Gervasi,177,0.016152582588063517,4301.479999999994,0.021737084907676268,8
personalized,Ciutat Vella,4545,0.42071646764787557,65741.7000000003,0.3655681518410932,8
personalized,Eixample,1578,0.1460705359622327,35306.62000000009,0.1963285984566227,8
personalized,Gracia,641,0.05933536980468388,12238.959999999899,0.06805686478531904,8
personalized,Horta-Guinardo,241,0.02230861797648801,4349.400000000002,0.02418559482972975,8
personalized,Les Corts,152,0.014070165694714431,3729.0199999999904,0.020735863988586598,8
personalized,Nou Barris,310,0.0286957326668518,3881.520000000016,0.021583866750239794,8
personalized,Sant Andreu,123,0.011385726187170231,1883.880000000001,0.010475642246707887,8
personalized,Sant Marti,1728,0.15995556789780616,22510.280000000068,0.1251723252825149,8
personalized,Sants-Montjuic,1000,0.09256687957048967,21292.53999999995,0.11840087031218385,8
personalized,Sarria-Sant Gervasi,485,0.044894936591687494,8900.399999999985,0.04949222150699549,8
sustainable,Ciutat Vella,3244,0.30508793379102794,48072.10000000032,0.2692054010761252,8
sustainable,Eixample,1147,0.10787172011661808,25705.100000000133,0.143949437515771,8
sustainable,Gracia,777,0.07307439104674128,14861.319999999858,0.08322389933288905,8
sustainable,Horta-Guinardo,505,0.04749365183861563,8823.000000000045,0.04940910119788087,8
sustainable,Les Corts,288,0.02708548857330951,6925.359999999966,0.03878225241661031,8
sustainable,Nou Barris,620,0.05830903790087463,7750.080000000037,0.04340071257074379,8
sustainable,Sant Andreu,477,0.04486034044954387,7274.519999999971,0.04073756033616741,8
sustainable,Sant Marti,1714,0.16119627574532117,22668.200000000063,0.12694269384266127,8
sustainable,Sants-Montjuic,1142,0.10740148593999813,23562.459999999908,0.13195058037073665,8
sustainable,Sarria-Sant Gervasi,719,0.06761967459794978,12928.200000000083,0.07239836134041076,8
popularity,Ciutat Vella,5618,0.5130593607305937,75274.15999999839,0.3799931991690188,9
popularity,Eixample,2464,0.2250228310502283,68176.23999999986,0.3441620277783947,9
popularity,Gracia,1205,0.11004566210045662,25336.07999999992,0.12789964170443577,9
popularity,Horta-Guinardo,35,0.0031963470319634705,647.5600000000001,0.0032689623644275153,9
popularity,Les Corts,125,0.01141552511415525,3096.899999999994,0.015633531327437694,9
popularity,Nou Barris,274,0.02502283105022831,3460.320000000014,0.017468120095243473,9
popularity,Sant Andreu,3,0.000273972602739726,45.0,0.00022716552350243713,9
popularity,Sant Marti,571,0.05214611872146119,8267.079999999938,0.0417332345785892,9
popularity,Sants-Montjuic,473,0.04319634703196347,9773.100000000046,0.04933580839425952,9
popularity,Sarria-Sant Gervasi,182,0.016621004566210046,4016.9999999999973,0.020278309064650873,9
personalized,Ciutat Vella,4613,0.42243589743589743,66671.7200000001,0.36588159549455174,9
